,cust,doz,m,s,,
1,8,3,20,24,52,
2,10,2,20,20,52,
3,10,4,20,40,52,
4,10,3,20,30,52,
5,12,1,20,12,18.4,
,,,,,,226.4
1,8,3,25,24,60.8,
2,10,2,25,20,44,
3,10,4,25,40,65,
4,10,3,25,30,65,
5,12,1,25,12,10.4,
,,,,,,245.2
1,8,3,30,24,52.8,
2,10,2,30,20,36,
3,10,4,30,40,78,
4,10,3,30,30,78,
5,12,1,30,12,2.4,
,,,,,,247.2
1,8,3,35,24,44.8,
2,10,2,35,20,28,
3,10,4,35,40,91,
4,10,3,35,30,70,
5,12,1,35,12,-5.6,
,,,,,,228.2
1,8,3,40,24,36.8,
2,10,2,40,20,20,
3,10,4,40,40,104,
4,10,3,40,30,62,
5,12,1,40,12,-13.6,
,,,,,,209.2
1,8,3,45,24,28.8,
2,10,2,45,20,12,
3,10,4,45,40,96,
4,10,3,45,30,54,
5,12,1,45,12,-21.6,
,,,,,,169.2
