"","samples","means","std.dev","coef.vars","D","method"
"1",1000,0.0100372338285522,0.000912206727704047,11.0032446853523,2,"Crude Monte"
"2",2000,0.0100183702799937,0.000562678675723261,17.8047804408372,2,"Crude Monte"
"3",3000,0.0099963517575264,0.000495453613358602,20.1761607706576,2,"Crude Monte"
"4",4000,0.0100149046079338,0.000365003837823817,27.4378063190883,2,"Crude Monte"
"5",5000,0.00999447977616969,0.000413066644445647,24.1958045040957,2,"Crude Monte"
"6",6000,0.0100187114352537,0.000296946370066503,33.7391274828852,2,"Crude Monte"
"7",7000,0.00997466003586162,0.00032868015163655,30.3476190642977,2,"Crude Monte"
"8",8000,0.00997873895299896,0.00026464485431078,37.706151434483,2,"Crude Monte"
"9",9000,0.0100248544823488,0.000290878165322104,34.4641010481064,2,"Crude Monte"
"10",10000,0.00998963627855344,0.000242921039669112,41.1229768000357,2,"Crude Monte"
