"","it","bm","ar","n"
"1",0,0,0,100
"2",0,0,0,100
"3",0,0,0,100
"4",0,0,0,100
"5",0.0100000000002183,0,0,100
"6",0,0,0,100
"7",0,0,0,100
"8",0,0.0100000000002183,0,100
"9",0,0,0,100
"10",0,0,0,100
"11",0.0100000000002183,0.0200000000004366,0.0199999999986176,1000
"12",0,0,0.0199999999986176,1000
"13",0,0,0,1000
"14",0,0,0,1000
"15",0,0,0,1000
"16",0.0200000000004366,0.0199999999986176,0,1000
"17",0.0200000000004366,0.0199999999986176,0.0200000000004366,1000
"18",0,0,0,1000
"19",0,0,0,1000
"20",0,0,0,1000
"21",0.190000000000509,0.139999999999418,0.139999999999418,10000
"22",0.190000000000509,0.140000000001237,0.139999999999418,10000
"23",0.200000000000728,0.140000000001237,0.159999999999854,10000
"24",0.209999999999127,0.159999999999854,0.140000000001237,10000
"25",0.139999999999418,0.179999999998472,0.139999999999418,10000
"26",0.140000000001237,0.190000000000509,0.139999999999418,10000
"27",0.140000000001237,0.210000000000946,0.139999999999418,10000
"28",0.140000000001237,0.200000000000728,0.139999999999418,10000
"29",0.140000000001237,0.210000000000946,0.139999999999418,10000
"30",0.199999999998909,0.139999999999418,0.140000000001237,10000
"31",13.5200000000004,13.0100000000002,13.2100000000009,1e+05
"32",13.4300000000003,13.2899999999991,13.2299999999996,1e+05
"33",13.1200000000008,13.1399999999994,13.2699999999986,1e+05
"34",13.0900000000001,13.2299999999996,13.1799999999967,1e+05
"35",13.1699999999983,13.1899999999987,13.2000000000007,1e+05
"36",13.2099999999991,13.369999999999,13.3499999999985,1e+05
"37",13.2099999999991,13.2100000000028,13.3000000000029,1e+05
"38",13.1999999999971,13.25,13.2899999999972,1e+05
"39",13.3099999999977,13.3199999999997,13.2900000000009,1e+05
"40",13.2000000000007,13.3100000000013,13.2799999999988,1e+05
